"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"ATP8A2","blue","ATP8A2","ATP8A2",1.19835789225004e-31,2.54011279373232e-23,0.000184174217502962,0.271430380434332,0.00393838207966801,0.535715529948887,8.43982665300915e-07,0.000239086136780566,1.80570036324929e-11,2.69279356869e-13,0.215503659724354
"ATP8B1","black","ATP8B1","ATP8B1",2.46318386211761e-31,2.05552113514206e-22,0.000255480606354797,0.131760856264758,0.000264667925834512,0.542869957960397,2.46305249607994e-06,0.000250964862213516,5.7136072327403e-10,1.83133522794908e-12,0.251453103058469
"ATP8B3","blue","ATP8B3","ATP8B3",0.00027637447905256,0.000366924318251135,0.0879220943694914,0.513388018713644,0.663782360976596,0.0895912259901342,2.32405299608283e-07,0.120707258089978,0.00970408997821961,0.00250075769616604,0.463638648061621
"ATP9A","blue","ATP9A","ATP9A",2.69961022171772e-12,4.07792581367049e-48,1.34121008625413e-21,0.590685304712501,3.0170482409161e-05,0.00099573531445574,5.06269481760857e-05,0.374955070685058,0.0433435656623342,1.19290120697821e-56,4.26616085671975e-10
"ATP9B","blue","ATP9B","ATP9B",2.72947285381362e-12,6.56208197837618e-05,0.978403884137875,0.0275313581564301,0.00121608911282032,0.62155278349722,0.0983669216046806,1.1192523047271e-07,7.40684548331082e-10,0.0158852832273479,0.0524724919123866
"ATPAF1","magenta","ATPAF1","ATPAF1",0.0112389632858065,0.402466095157827,2.6166435778768e-06,0.193120394084497,0.333754432842785,1.62493904174254e-10,0.254064246945858,2.48857391232143e-11,1.32170175273067e-08,0.0208331068582819,3.68808792243013e-09
"ATPAF2","blue","ATPAF2","ATPAF2",1.77747006259408e-06,1.89689452075233e-15,5.38621802068397e-12,0.567987992704014,7.07726880435478e-06,0.00992674051385709,0.0285615969585021,0.270161687855311,0.219762531870766,2.81018186504033e-16,2.89067971477687e-07
"ATPSCKMT","magenta","ATPSCKMT","ATPSCKMT",6.27329842366896e-09,0.0108336945724622,0.0671446372075809,0.202680071879128,0.0144900088593255,1.13981819054299e-05,0.682468929309813,2.27198699932243e-12,2.28444094442113e-15,0.425035824178911,0.00019999679575384
"ATR","turquoise","ATR","ATR",0.352776017209245,0.000136435230753694,2.08539575540566e-25,0.915634658113463,0.0552805475656992,8.00083603081748e-13,0.390216900092239,3.43975128796041e-19,2.92155759848782e-08,3.33042020838524e-10,3.54494266689251e-42
"ATRIP","turquoise","ATRIP","ATRIP",0.287658294887289,0.000632865350317316,6.5181299641091e-21,0.643194536344112,0.0260133030065861,5.50545631217199e-13,0.974817994723931,8.7939025918644e-18,6.00844682155453e-08,5.09751281563682e-09,6.42493020780169e-32
"ATRN","blue","ATRN","ATRN",6.43632195686068e-44,3.35773311846031e-19,0.0101701530472693,0.328197693353387,0.000213651528827268,0.107576760712973,3.93630788429594e-05,2.95495549758015e-07,5.65505852393613e-18,7.7113526218124e-10,0.975665414021877
"ATRNL1","brown","ATRNL1","ATRNL1",2.65787218371207e-06,7.01563935525823e-25,8.47702021456387e-33,0.482844925422987,7.79465833079975e-05,2.46650322683321e-08,0.00165696938383846,0.00441923209520176,0.928226626710439,2.70905896138155e-41,4.79935973029139e-17
"ATRX","blue","ATRX","ATRX",9.73564110919547e-07,2.1283305845198e-13,2.65991873557533e-10,0.109984214281035,4.42792392849182e-05,1.15556989131093e-05,0.0779474663392521,0.407920356488965,0.236555769573541,1.01131688956214e-13,6.51992256239704e-06
"ATXN1","brown","ATXN1","ATXN1",6.65069136667723e-07,6.1520820307143e-28,1.03006247430492e-33,0.861770219976731,0.000198262522514702,8.86753025057634e-07,0.000205406223359071,0.00782598237951723,0.860105813934543,1.23515959924778e-50,9.58801818656928e-17
"ATXN10","turquoise","ATXN10","ATXN10",0.192404247603897,6.5169010418768e-05,8.41827174290493e-09,0.788750704580788,0.00796636580205055,3.44656127338873e-05,0.374228763936104,0.000907080853938257,0.117843560524129,3.37698509309089e-07,3.18140788434078e-08
"ATXN1L","pink","ATXN1L","ATXN1L",0.000474430055655584,3.64187200514768e-11,3.27222785421835e-13,0.00168590304128324,3.5099875830916e-10,1.44022513918117e-11,0.722089586965453,0.0199667584029335,0.687538841853143,7.61443334220535e-14,2.67393726336205e-09
"ATXN2","midnightblue","ATXN2","ATXN2",6.29978235364497e-13,0.00846702539206834,0.00647531523027888,0.11909547606444,0.172468882535956,3.36557721606852e-09,0.036420774341007,1.06408956085304e-24,3.89404681278012e-32,0.676979417001843,1.94231350860311e-07
"ATXN3","turquoise","ATXN3","ATXN3",0.0140623905938199,0.0326788080648344,1.02586220165282e-14,0.133313149347118,0.710165632408788,9.7246664847106e-06,0.565153722814316,1.93898528100035e-22,8.45759086844997e-11,1.11447932316816e-05,1.80909952146605e-25
"ATXN7","turquoise","ATXN7","ATXN7",0.102244745346132,0.00157813242640814,1.18864927513498e-23,0.950909572480439,0.106096132059294,1.51452554072979e-15,0.559673290556206,1.17499286629218e-25,4.03906507565998e-11,1.16103217258566e-08,8.63692982509075e-50
"ATXN7L1","blue","ATXN7L1","ATXN7L1",5.71761413982001e-07,1.65930505450343e-18,4.59583867942662e-17,0.0975554893527607,1.74143910117984e-07,1.91293116983564e-08,0.0279869843830955,0.0822354606082343,0.560503883130684,2.02316893767855e-22,4.76734323170725e-10
"ATXN7L3","blue","ATXN7L3","ATXN7L3",2.70218040059184e-25,3.37988308328667e-20,0.00044271943828653,0.110343573464109,0.000212553571905891,0.328302509566732,0.000313718002621938,0.000290768116578695,2.3482222359162e-11,1.11255192123764e-11,0.265403316562368
"AUNIP","pink",NA,"AUNIP",0.000103050486454414,6.08343845684957e-15,4.2165130994891e-18,0.192869610808792,0.0117423636162163,3.15111212362924e-06,1.92131030004184e-05,0.0100120627362595,0.770737824002105,8.00100354472648e-20,6.00229155451947e-12
"AUP1","turquoise","AUP1","AUP1",0.132574861759176,1.54783497807094e-09,3.51908378068141e-31,0.0528440280374296,0.000828349669027546,6.72735424860354e-20,0.0595959139699002,6.19439965644278e-09,0.00138479447360066,2.89348522972951e-17,3.4924408046136e-27
"AURKA","turquoise","AURKA","AURKA",0.516885568300906,1.67419179770251e-08,7.88728663861134e-47,0.925410394452781,0.00751626370919819,6.16624719057137e-13,0.0883860777625036,1.95529084180236e-13,5.50597116742995e-05,1.31484932770882e-17,5.31554852366314e-63
"AURKAIP1","turquoise","AURKAIP1","AURKAIP1",0.00915223812107975,8.58860841635623e-11,2.99638608054893e-19,0.542221864948046,0.00103020493959565,1.1544196932054e-07,0.0105985791321802,0.000172795534245299,0.19544300740086,8.60201024223481e-17,3.02155186069512e-15
"AUTS2","brown","AUTS2","AUTS2",0.0669469886811523,4.62712594634045e-11,7.54627579040196e-35,0.710417437641998,0.00744585893087894,2.91611297105841e-09,0.0173690104524189,4.28123812191355e-08,0.0117958755691905,1.19770197051509e-20,5.86289835064802e-29
"AVEN","turquoise","AVEN","AVEN",0.000358240494459757,0.150721315088914,0.131181629290476,0.000311890252809259,0.363671621618363,0.899209216215388,0.460637492532154,1.75435289954569e-05,6.57184202026993e-05,0.95131661054871,0.00468860707855292
"AVL9","brown","AVL9","AVL9",3.06031647396235e-05,4.91138015170718e-13,5.09898336576916e-14,0.320273336098858,0.0250890332295286,1.75397233711976e-09,0.000722905426718871,0.0437691195827943,0.959265362521045,4.59835978444535e-16,6.01072700776401e-09
"AVPR1A","turquoise","AVPR1A","AVPR1A",0.0136177460085745,0.436372460729645,7.62609374409774e-06,0.615813582807108,0.359896660040673,0.000222789718465195,0.514112590381327,4.7391118358279e-10,8.69161586792717e-07,0.0144887644894476,4.82153164120454e-09
