,PFT1_PVN_run2,PFT10_PVN_run2,PFT11_PVN_run2,PFT12_PVN_run2,PFT2_PVN_run2,PFT3_PVN_run2,PFT4_PVN_run2,PFT5_PVN_run2,PFT6_PVN_run2,PFT7_PVN_run2,PFT8_PVN_run2,PFT9_PVN_run2
GLB1L2,2390.73057021936,1894.99120219855,2187.62895174614,1864.21016644419,2051.95699306346,1787.79143650501,2054.00168316272,1894.19422572564,2238.11711805448,1959.52714617207,1951.61362439458,1938.08109537283
B3GAT1,2216.92947868484,2267.51084023758,2141.9801935235,2511.39229846303,1892.89872512066,1963.9967940343,1897.76423261789,1984.09177412691,2225.08857765832,2488.7125055211,2047.7522265815,1978.43622763099
LOC113987870,5.79336971781752,1.01228162510606,2.63358220515185,8.1406557486646,5.26683006433127,4.94958869464289,14.582162050851,6.34570929891335,6.51427019807956,3.08263316125653,5.7683161312155,9.31272282880696
LOC113987879,71.4515598530828,68.8351505072124,142.2134390782,112.951598512721,89.5361110936315,67.3144062471433,66.6613122324615,95.1856394837003,100.505883056085,77.0658290314132,90.3702860557095,103.474698097855
ATP12A,270.357253498151,256.107251151834,317.785586088323,281.870205297512,204.353006496053,241.539928298573,216.6492647555,300.363573481899,391.786821913071,302.09804980314,300.913824845075,203.845155252775
SCN3B,4595.10774784893,4422.6584200884,4667.58552826413,5101.13840850696,3738.39597966233,4831.78848371039,4154.87460148889,3968.18354825381,5211.41615846365,4790.41193259264,4681.94992650325,4700.85553458556
GRAMD1B,3887.35108065556,4004.58610891959,4376.13576422732,4816.2154573037,3528.77614310195,3816.13288356967,3949.68274977334,4274.89283103463,4460.41386562791,4743.14489078671,4257.01730483704,4525.98329480018
CLMP,41.5191496443589,7.08597137574245,23.7022398463666,16.2813114973292,3.16009803859876,17.8185193007144,10.4158300363221,12.6914185978267,15.8203704810504,11.3029882579406,13.4594043061695,18.6254456576139
HSPA8,38362.728709768,58373.2199117412,69673.1729587622,66883.6276310284,25734.7850603354,44957.1141134413,38414.6227569596,39094.8573723887,70515.1136741547,73041.9652115863,41838.5582857279,50367.344046112
LOC113987894,11.586739435635,2.02456325021213,8.77860735050616,6.10549181149845,11.5870261415288,9.89917738928577,4.16633201452884,5.28809108242779,9.30610028297081,5.13772193542754,5.7683161312155,17.5906986766354
LOC113987892,5.79336971781752,5.06140812553032,2.63358220515185,12.2109836229969,12.640392154395,5.93950643357146,1.04158300363221,1.05761821648556,7.44488022637664,2.05508877417102,3.845544087477,9.31272282880696
LOC113987893,17.3801091534526,4.04912650042426,9.65646808555678,22.3868033088277,23.1740522830576,15.8386838228572,12.4989960435865,11.6338003813411,8.37549025467372,2.05508877417102,13.4594043061695,13.4517107527212
BSX,5.79336971781752,7.08597137574245,12.2900502907086,23.4043852774107,26.3341503216563,10.8890951282144,19.790077069012,6.34570929891335,8.37549025467372,11.3029882579406,14.4207903280388,15.5212047146783
JHY,167.042160197072,129.572048013576,154.503489368908,155.690041193211,154.844803891339,144.527989883572,129.156292450394,129.029422411238,171.232245206663,198.316066707503,152.860377477211,139.690842432104
UBASH3B,2421.62854204772,2962.94831668545,2826.71156686298,2495.1109869657,2262.63019563671,3064.78531972288,2469.59330161197,3135.83801187968,2855.11156681544,2547.28253558498,3128.35011516254,2788.6431137372
LOC113987915,29.9324102087239,51.6263628804093,43.8930367525308,53.931844334903,41.0812745017839,35.6370386014288,37.4969881307596,52.8809108242779,47.4611114431511,79.1209178055842,46.146529049724,56.9110839538203
ACVR2A,738.654639021734,606.356693438533,744.425903322922,956.527050468091,644.659999874147,702.84159463929,677.028952360937,712.834677911266,796.602184222301,694.620005669804,790.259309976524,830.901825725777
ORC4,647.891846775926,485.895180050911,747.937346263125,515.914058071619,595.151797269433,432.594051911788,512.458837787048,528.809108242779,554.64357686506,533.295536897379,916.200878841395,461.497153516434
