,PFT1_GON_run1,PFT10_GON_run1,PFT11_GON_run1,PFT12_GON_run1,PFT2_GON_run1,PFT3_GON_run1,PFT4_GON_run1,PFT5_GON_run1,PFT6_GON_run1,PFT7_GON_run1,PFT8_GON_run1,PFT9_GON_run1
TM6SF2,45.878922500581,15.5960018837233,5.12918192490492,46.7164781810552,5.16693729135908,42.4376999254462,12.1076072056126,38.6724713588887,27.4700590487108,7.02985118179019,76.8211223946964,58.2773068134593
LOC113982691,930.09088342087,1086.52146456606,1043.78852171815,1014.91548848342,971.384210775506,990.495916259914,1130.04333919051,1034.68591737761,1185.79088226935,994.723942223311,1163.61405980202,938.264639696695
VPS28,183.515690002324,125.807748528701,128.229548122623,259.276453904856,253.179927276595,176.540831689856,195.73964982407,294.384322793173,344.520323902581,175.746279544755,195.441973151213,139.865536352302
LOC113982693,25.0248668184987,21.8344026372126,19.6618640454688,24.526151045054,40.4743421156461,35.6476679373748,24.2152144112251,31.569364374603,19.4579584928368,30.4626884544241,32.7619492565617,15.5406151502558
LOC113982697,20.8540556820823,16.6357353426382,18.807000391318,29.1977988631595,13.7784994436242,20.3700959642142,44.3945597539127,38.6724713588887,35.4821596045848,48.0373164088996,23.7241701513033,20.3970573847108
GRIN2A,58.3913559098304,45.7482721922551,40.1785917450885,88.7613085440049,53.3916853440438,24.6138659567588,87.7801522406911,48.9325147806347,45.7834317478514,67.9552280906385,40.6700059736628,64.1050374948052
EMP2,106.35568397862,168.436820344212,174.392185446767,70.0747172715828,114.533776625126,113.733035800196,125.111941124663,144.429842013809,131.627366275073,120.679111954065,137.826131355191,146.664555480539
NUBP1,571.401125689055,815.151031789272,856.573381459121,878.269789803838,688.92497218121,841.115212522344,841.478700790073,899.726884676187,626.088429151867,572.9328713159,467.705068697122,853.762544817179
TVP23A,26.0675696026029,17.6754688015531,33.3396825118819,42.0448303629497,37.02971725474,14.4288179746517,15.1345090070157,23.6770232809523,21.7471300802294,32.8059721816875,23.7241701513033,63.1337490479142
CIITA,23.9821640343946,16.6357353426382,17.9521367371672,21.0224151814748,31.0016237481545,38.1939299329016,8.07173813707504,41.829407796349,10.3012721432666,33.9776140453192,13.5566686578876,40.7941147694215
