,PFT1_POM_run1,PFT10_POM_run1,PFT11_POM_run1,PFT12_POM_run1,PFT3_POM_run1,PFT4_POM_run1,PFT5_POM_run1,PFT6_POM_run1,PFT7_POM_run1,PFT8_POM_run1,PFT9_POM_run1
PICALM,1515.93121106873,1483.83932196119,1508.17710049177,1367.85660593212,1565.54794273874,1347.15652806837,1416.07697944081,1368.49363075677,1465.78881245471,1467.51635258271,1453.77999522966
EED,292.548128451859,277.078067643915,286.339127922679,268.186874289491,257.946914959094,275.578027414747,282.387885600688,316.147782316294,322.001874023156,240.311739290244,327.147638355831
HIKESHI,1004.83922381291,1025.08735648481,881.402201586097,855.298680166485,1083.15371216589,853.369876715554,883.367231879074,941.338902402448,1025.8707592118,939.400435407317,984.271280816968
LOC113987286,122.569571604336,98.4489837416109,142.70321359013,77.6602917826712,51.3660523295165,66.5894861782845,50.6850051078157,54.171389666556,97.9611335056363,66.4894140328738,108.420687063172
LOC113987295,11.5631671324846,8.1195038137411,16.7886133635447,12.4256466852274,8.93322649208982,18.4401654032173,15.5158178901477,11.5447223879546,5.44228519475757,9.49848771898197,6.59952008210611
LOC113987294,338.800796981798,504.424174428666,610.918986284544,479.422867938357,499.144030245519,378.023390765954,677.524047869781,483.990284725787,546.949662073136,701.938242432768,415.769765172685
AKAP13,925.053370598765,931.713062626791,1306.71374012923,1169.04625896848,695.675013071495,839.027525846385,1034.38785934318,997.286403205613,869.858583628751,1179.71217469756,960.701566238017
SV2B,879.957018782075,932.728000603509,901.921617919319,1232.20996295172,821.856837272264,882.054578453892,823.372736037169,806.35445602021,862.602203369075,1257.59977399321,868.308285088532
SLCO3A1,228.950709223194,251.704618225974,322.714456877026,261.974050946878,273.580061320251,213.086355770511,282.387885600688,273.521115037693,276.649497400176,284.004782797561,247.953397370558
ST8SIA2,1059.18610933559,1202.7015024104,1017.57650997929,1192.86208178183,916.772368750718,1015.23355081046,1020.94081717172,905.816679670281,1147.41512856139,757.979319974761,992.75637806539
FAM174B,65.910052655162,106.568487555352,106.327884635783,86.9795267965917,73.6991185597411,109.616538785791,87.9229680441701,82.5891678522903,84.3554205187423,83.5866919270413,94.2788583158015
CHD2,2777.47274522279,2698.7200800922,2531.34981492558,2797.84144529037,2477.85369824341,2747.58464507937,2704.92425218241,2665.05476048089,2802.77687530015,2625.38200552662,2558.72821469085
RGMA,2355.4171448871,2149.63863468796,2073.39375039777,2128.92746540229,2023.37580045835,2245.60236465846,2067.74133082701,1959.93863924736,2130.65465374759,2292.93493536225,2340.00126339819
MCTP2,106.381137618858,96.4191077881756,72.7506579086938,127.362878523581,102.732104659033,90.1519197490622,81.716640888111,82.5891678522903,102.496371167934,138.677920697137,116.905784311594
LOC113987299,1160.94198010145,867.77197009358,677.140738996304,1112.09537832785,787.240584615416,1261.10242285336,916.467643378055,936.010568992623,737.429643889651,756.079622430965,972.957817819071
NR2F2,5094.7314385727,4741.7902272248,4731.59086629235,5699.22994629096,5096.40571373724,6368.00378591103,4868.86365392834,5632.04841418521,4897.14962774935,4519.38045669162,4976.038141908
LOC113987308,8.09421699273919,8.1195038137411,16.7886133635447,14.496587799432,4.46661324604491,7.17117543458449,3.10316357802953,8.88055568304197,12.6986654544343,12.3480340346766,10.3706744147382
ARRDC4,403.554532923711,348.12372601415,388.936209588786,361.379224428697,396.411925586486,439.490608776678,345.485545020621,318.811949021207,297.511590646747,341.945557883351,309.234655275829
NEGR1,83.2548033538888,185.733649739328,156.693724726417,157.391524679547,108.315371216589,196.695097634317,159.295730338849,193.596113890315,114.287989089909,162.424139994592,131.990401642122
LOC113987349,50.8779353829321,58.866402649623,60.6255482572448,30.0286461559662,33.4995993453368,38.9292380734587,48.6162293891294,40.850556141993,42.631234025601,34.1945557883351,49.9677949073748
ERICH3,916.959153606025,924.608496789768,927.104537964636,836.660210138644,835.256677010399,1087.96975878982,934.05223698689,866.742234664896,931.537815836004,1064.78047329788,824.940010263263
CRYZ,598.9720574627,498.33454656836,470.081174179252,517.735278551141,490.210803753429,559.35168389759,484.093518172607,468.005284496312,526.994616359025,435.030737529374,402.570725008472
TYW3,449.807201453649,418.154446407667,329.24336207396,446.287810111084,508.077256737609,405.68363887078,404.445653003182,405.841394715018,510.667760774752,386.588450162566,362.973604515836
LHX8,256.702310341157,442.51295784889,190.270951453507,316.853990473298,376.312165979284,244.844418409385,306.178806365581,206.028891846574,361.004917918919,94.0350284179215,202.699545378973
SLC44A5,968.993405702206,576.484770775618,798.391835510793,539.480160250289,811.806957468663,808.293916841023,671.317720713722,623.415008949546,725.638025967676,774.126749097031,949.388103240121
