,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
LOC113982218,31.0250349372857,54.4753992490551,67.6365046061856,74.0097287904531,46.6895293643266,64.4010873254455,53.1210336405092,64.1596035992093,38.1740517869487,65.9773405629113,74.531429773451
LOC113982219,867.839171717963,845.416292192066,903.207476894909,980.100265553572,824.848352103103,885.079808242947,954.095427739341,894.22447516398,872.416744496852,793.856388063417,728.11473701756
SVEP1,107.725815754464,557.325238471102,386.048357059921,846.882753730756,214.222546495145,595.274915278442,387.471068907243,426.059867650999,114.522155360846,606.565872917088,955.148938481303
TXN,1304.77508041807,1177.50670684496,1190.40248106887,1198.95760640534,1121.46418571177,1099.16990935186,1131.16553987437,1157.88034620448,1589.34405854442,1117.35818695253,1240.66164638268
PTGR1,734.259160182427,559.420446134527,535.889228802855,579.390448245262,676.540435298771,618.772609302591,614.537447998047,709.765614816253,750.445993665381,655.516803012151,583.638426995178
SMC2,51.7083915621428,23.0472842976771,34.3385331077558,12.6873820783634,54.9288580756783,26.1085489157212,35.4140224270061,23.0573575434658,11.1728932059362,37.2452728984177,21.7861102414703
ECPAS,1743.43460217025,1458.26453374394,1690.91261515464,1688.47909826219,2154.12671753452,1753.6242021726,1785.28336587907,1521.78559786875,1120.0825438951,1827.14667333095,1530.76090380857
DNAJC25,107.725815754464,123.617252142086,108.218407369897,131.102948143088,151.054359708115,147.948443855753,157.279923131704,117.291775329805,88.4520712136616,109.607517386772,138.743123116732
GNG10,1436.63147890153,1157.60223404242,1331.91885993719,1215.87411584316,1222.16709218384,1150.51672221945,1196.78564025382,1337.32673752102,1500.89198733076,1274.85248378013,1658.037653114
UGCG,572.239533287713,467.231308943818,575.430569957241,458.860318500809,564.851757211559,502.154424145703,578.081836676129,612.523715611202,574.472925671886,601.245119645885,568.732141040488
SUSD1,18.09793704675,15.714057475689,39.5413411543854,24.3174823168632,10.0702906472077,15.6651293494327,12.4990667389433,18.0448885122776,12.1039676397642,20.2188624305696,27.5192971471204
PTBP3,116.343881014821,113.141213824961,132.151324384393,113.129156865407,108.942235183429,142.726734072609,174.986934345207,147.366589516934,69.8305825371013,120.249023929177,127.276749305432
