,PFT1_GCT_run2,PFT10_GCT_run1,PFT11_GCT_run1,PFT12_GCT_run1,PFT2_GCT_run1,PFT3_GCT_run2,PFT4_GCT_run1,PFT5_GCT_run1,PFT6_GCT_run1,PFT7_GCT_run2,PFT8_GCT_run1,PFT9_GCT_run2
SLC25A40,129.551856886876,176.754773322298,213.787907880273,183.803826161135,185.477594760298,185.695965288797,143.588455707281,187.980303282608,187.484805273503,227.916982877827,166.134712922531,158.213823842261
DBF4,267.264460664264,235.347515860076,258.286748434538,269.901407889246,276.759761815104,217.136552004361,287.176911414561,239.036681951958,256.335157492586,308.930128450514,234.423214553264,294.605051292485
ADAM22,2234.00446127762,2707.96125095432,2658.32204006783,2420.40617397453,2998.71629643874,3307.15671514334,2696.2721127256,2384.56495830716,2720.11853074777,3070.93830484199,2388.05909434043,2825.11695791899
SRI,1258.79520786146,1316.38361568209,1401.71347745935,1181.18143022498,1533.34618914403,1977.80940807592,1507.67878492645,1414.4937635895,1527.41858307565,1750.96411964435,1678.6740624749,1946.75745313954
AP2A2,10304.9831359939,12612.0878312568,13224.8619395078,11842.7707361296,12801.8383859948,13277.7527773164,12727.9643454108,11509.732273211,12322.0945748399,13299.1179772123,11649.8145319296,11875.1295366662
CHID1,126.491576802934,93.7483880604453,116.083931880691,75.4563075819397,160.229335787692,111.024571839334,94.8392886461668,131.122063400832,90.0350759788007,68.0510422810572,138.615465996713,122.752104705202
TSPAN4,716.105539642417,1368.14053825712,1231.45704403434,1038.00792353104,1016.72796708917,998.238628219143,1216.9564795438,997.920128537302,1080.42091174561,1082.3356248511,745.058129732332,1146.59558543155
POLR2L,615.116296872332,656.238716423117,536.888184948198,555.281032718377,494.28322373294,558.070414201253,517.627519339826,598.752077122381,587.876084332169,472.036594870191,739.961972894217,639.220219316719
CD151,3983.46457593111,3092.72026028573,3109.11464220452,3752.50021936339,4381.5440186307,4208.12602821121,3645.55134767929,3932.50152978246,3785.71013586157,3078.49953176211,3776.2522170428,4576.38031837987
CRACR2B,160.154657726295,112.302756530742,190.571121504135,193.477711748563,131.096729280839,122.81479185767,197.655713720516,150.848391523081,132.404523498236,128.540857641997,136.577003261467,146.393250796574
PNPLA2,1346.52323693446,1361.30471829438,1485.87432807285,1554.59341389971,1688.72009051392,1860.88972622742,1622.01774039706,1438.86158068169,1520.00392975975,1439.87364064523,1649.11635281383,1630.32980545502
RPLP2,1372.02557096731,848.618221088823,906.422034768399,1019.62754091493,955.549493424781,1027.71417826498,889.007537496312,934.099655200615,901.409995975993,989.440551261086,1097.71218292985,1311.17433322149
PIDD1,53.0448547883272,26.3667341420003,47.4009388512823,55.1411478483406,32.0458671575384,39.3007333944544,30.1358487286885,40.6130284869832,54.0210455872804,58.3294648123348,30.5769410286867,140.028326848897
SLC25A22,4345.59771919757,4162.03781160019,4310.58333716968,4251.67271567468,4090.21795356217,4191.42321651857,4277.51782248973,3926.69966857004,4729.489579357,3862.70678090572,4546.79113096571,4317.23698622444
IRF7,60.185508317525,56.6396511198524,72.5524574254322,69.6519762294828,68.9471687328856,47.1608800733453,72.6805763456606,48.7356341843799,54.0210455872804,68.0510422810572,77.4615839393396,59.1028652284307
LOC113991411,24.4822406715356,20.5074598882224,34.8251795642074,16.4456054986279,21.3639114383589,23.5804400366727,19.4996668244455,26.6885615771604,19.066251383746,25.9242065832599,30.5769410286867,23.6411460913723
PHRF1,1354.68398382497,1215.7994076589,1223.71811524229,1114.43161967173,1455.65923845909,1203.58496020517,1318.88655612613,1206.78713218464,1227.65474187565,1124.4624605489,1235.30841755894,1088.40199505279
LOC113991424,35.7032676459894,31.2494626868151,34.8251795642074,29.0216567622845,23.3060852054825,22.5979217018113,33.6812426967695,20.8867003647342,24.3624323236755,20.5233302117474,16.3077018819662,25.4596957907086
LOC113991423,139.752790500016,159.176950560964,145.104914850864,166.390832103765,118.472599794536,142.465158554897,138.270364755159,133.442807885802,150.411538693996,155.545239499559,130.46161505573,122.752104705202
LRRC56,89.7682157956306,57.6161968288154,86.0955828115128,63.8476448770259,80.6002113356268,69.7588017751566,73.5669248376808,74.2638235190551,65.6726436551252,65.8906917324522,47.9038742782758,58.1935903787625
HRAS,2555.33387009153,2247.0316763238,2038.24037060514,1888.34246666598,2054.8198456167,2104.55427327304,2056.32850148698,2215.15061090431,2099.40612458804,1905.4291838696,2442.07835682444,2003.13249381897
LOC113991418,773.230767876,909.164055044527,738.100333541396,776.813012670482,806.002113356268,654.357211017666,925.347825669142,808.779453012209,909.88388547988,718.316557411159,649.25038117578,627.399646271033
RNH1,1117.00223063881,812.486029857193,894.81364158033,845.497600341222,1160.44882585631,861.668579673414,835.826627975096,844.750992529251,798.664085741362,807.971105178267,935.654395477812,1156.5976087779
CHKA,3494.83985586171,3938.40884424767,4303.81177447664,3723.4785626011,3803.74732291145,4128.54204308744,3774.07187902223,4213.31161246389,4456.20664285664,4741.96945418796,4333.77177513252,4360.88217900851
KMT5B,658.980311408833,605.458339557043,628.787964353745,594.943963626832,651.599298869947,779.137039545059,682.488338855593,587.148354697529,628.127059475633,881.423023830836,638.038836131928,925.641796962191
B3GALT5,17.3415871423377,13.6716399254816,31.9230812671901,20.3151597335992,22.3349983219207,16.7028116926431,13.2952273803038,12.7640946673376,32.8363218275626,11.8819280173274,38.7307919696698,24.5504209410404
CSRNP1,745.688247120522,975.569163254009,1080.54793258944,805.834669432767,910.879496780939,811.560144595484,673.624853935391,1183.57968733494,912.002357855852,1014.28458257004,1134.40451216428,618.306897774351
GORASP1,493.725186875968,624.989253736302,597.832249185561,628.802563182831,642.859516917891,565.930560880144,565.49033790892,601.072821607352,713.92519070249,621.100782723935,612.558051941356,844.716335341724
WDR48,1000.71158744902,967.756797582305,957.692438015704,950.942953244189,1210.94534380153,1086.66527835667,982.074129158438,957.307100050319,1038.05146422617,1062.89246991366,1003.94289710855,1275.71261408443
LOC113991466,11.2210269744538,9.76545708962972,10.6410270890634,5.8043313524569,17.4795639041118,16.7028116926431,15.9542728563645,8.12260569739665,26.4809046996473,19.4431549374449,3.05769410286867,44.55446763374
LOC113991446,178.516338229947,223.628967352521,177.99536221706,241.847139685704,184.506507876736,159.16797024754,250.836623241731,227.432959527106,233.031961356896,228.997158152129,153.903936511056,362.800665017597
