"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"KCNE4",107.639373193639,1.04051643490001,0.452202786819222,5.31212667506313,0.0211774898231949,1.1523109218653e-14,"KCNE4","KCNE4",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"KCNK5",230.335701555464,0.604973592776363,0.331739777994926,3.61416925321372,0.0572893274383779,1.1523109218653e-14,"KCNK5","KCNK5",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"KDM6A",1368.52579713955,0.275442223796832,0.135002707241836,4.17539342301259,0.0410150390896463,1.1523109218653e-14,"KDM6A","KDM6A",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"KLF9",222.07262873591,-0.820967830995771,0.379486105975124,4.25846248342594,0.0390552547092449,1.1523109218653e-14,"KLF9","KLF9",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"KLHL4",775.514037500578,-0.492200802425182,0.220617587466041,4.95562670347306,0.0260058972329649,1.1523109218653e-14,"KLHL4","KLHL4",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"L3HYPDH",41.8148745035066,-1.45318072241371,0.615799583694771,5.50625760020276,0.0189485495456234,1.1523109218653e-14,"L3HYPDH","L3HYPDH",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LDB3",22.1037194798471,-1.37898657707172,0.717080124168722,3.6476097335544,0.0561497406169838,1.1523109218653e-14,"LDB3","LDB3",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LDLRAP1",225.806699391867,1.23538752023004,0.678193608711232,3.53684108188963,0.0600196662932161,1.1523109218653e-14,"LDLRAP1","LDLRAP1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LEPR",90.0713207548141,1.51129969788016,0.652367537144576,4.95951430408851,0.0259474943069525,1.1523109218653e-14,"LEPR","LEPR",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LGR6",54.4670382726513,1.36244377410602,0.671320699234386,4.34209008533553,0.0371812534252466,1.1523109218653e-14,"LGR6","LGR6",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
